run_accession	library_name	library_layout	first_public	last_updated	fastq_aspera	submitted_galaxy	sample_alias
ERR1713332	AUS.18	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/002/ERR1713332/ERR1713332_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/002/ERR1713332/ERR1713332_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713332/AUS.18.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713332/AUS.18.HR.R2.fastq.gz	AUS.18
ERR1713347	CZE.23	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/007/ERR1713347/ERR1713347_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/007/ERR1713347/ERR1713347_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713347/CZE.23.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713347/CZE.23.HR.R2.fastq.gz	CZE.23
ERR1713350	DNK.71_RD	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/000/ERR1713350/ERR1713350_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/000/ERR1713350/ERR1713350_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713350/DNK.71_RD.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713350/DNK.71_RD.HR.R2.fastq.gz	DNK.71_RD
ERR1713354	ESP.75	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/004/ERR1713354/ERR1713354_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/004/ERR1713354/ERR1713354_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713354/ESP.75.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713354/ESP.75.HR.R2.fastq.gz	ESP.75
ERR1713355	ETH.24	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/005/ERR1713355/ERR1713355_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/005/ERR1713355/ERR1713355_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713355/ETH.24.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713355/ETH.24.HR.R2.fastq.gz	ETH.24
ERR1713361	HUN.61	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/001/ERR1713361/ERR1713361_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/001/ERR1713361/ERR1713361_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713361/HUN.61.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713361/HUN.61.HR.R2.fastq.gz	HUN.61
ERR1713362	IND.11	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/002/ERR1713362/ERR1713362_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/002/ERR1713362/ERR1713362_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713362/IND.11.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713362/IND.11.HR.R2.fastq.gz	IND.11
ERR1713365	ISL.28	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/005/ERR1713365/ERR1713365_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/005/ERR1713365/ERR1713365_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713365/ISL.28.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713365/ISL.28.HR.R2.fastq.gz	ISL.28
ERR1713369	KEN.72	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/009/ERR1713369/ERR1713369_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/009/ERR1713369/ERR1713369_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713369/KEN.72.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713369/KEN.72.HR.R2.fastq.gz	KEN.72
ERR1713371	LKA.40	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/001/ERR1713371/ERR1713371_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/001/ERR1713371/ERR1713371_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713371/LKA.40.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713371/LKA.40.HR.R2.fastq.gz	LKA.40
